simtime,source,dest,needed,holding time
2.989846,13.0,12.0,10.0,4.242741
11.78067,13.0,12.0,10.0,21.151581
16.820901,13.0,12.0,10.0,14.630045
17.266083,13.0,12.0,10.0,15.423141
18.090843,13.0,12.0,10.0,16.564654
47.919996,13.0,12.0,10.0,3.039676
51.957339,13.0,12.0,10.0,8.068262
63.568765,13.0,12.0,10.0,19.818224
63.724403,13.0,12.0,10.0,18.319995
79.222668,13.0,12.0,10.0,47.986089
80.269609,13.0,12.0,10.0,44.560014
108.522704,13.0,12.0,10.0,2.674912
124.305834,13.0,12.0,10.0,5.256991
131.148998,13.0,12.0,10.0,35.159642
137.294614,13.0,12.0,10.0,67.680609
140.269018,13.0,12.0,10.0,15.040755
144.221994,13.0,12.0,10.0,31.237593
149.744475,13.0,12.0,10.0,15.877202
164.257608,13.0,12.0,10.0,1.788488
169.015042,13.0,12.0,10.0,5.774927
171.463598,13.0,12.0,10.0,7.021959
187.055377,13.0,12.0,10.0,13.34733
196.351686,13.0,12.0,10.0,4.522537
197.510091,13.0,12.0,10.0,42.464167
204.225808,13.0,12.0,10.0,66.126655
242.497519,13.0,12.0,10.0,12.976655
245.859639,13.0,12.0,10.0,54.470961
246.209775,13.0,12.0,10.0,41.738335
248.007947,13.0,12.0,10.0,26.905348
265.242593,13.0,12.0,10.0,4.016712
288.088345,13.0,12.0,10.0,38.271123
288.984443,13.0,12.0,10.0,51.172017
289.96553,13.0,12.0,10.0,1.320191
297.104169,13.0,12.0,10.0,15.807741
314.749795,13.0,12.0,10.0,5.079573
325.198111,13.0,12.0,10.0,14.239076
336.958366,13.0,12.0,10.0,20.679841
340.955358,13.0,12.0,10.0,9.815482
360.250033,13.0,12.0,10.0,27.502116
367.222977,13.0,12.0,10.0,8.508288
373.343953,13.0,12.0,10.0,33.094375
373.987572,13.0,12.0,10.0,5.6097
