simtime,source,dest,needed,holding time
1.623603,13.0,11.0,7.0,30.935868
10.915178,13.0,11.0,7.0,4.032476
20.159477,13.0,11.0,7.0,3.654419
26.037477,13.0,11.0,7.0,4.789799
38.679296,13.0,11.0,7.0,0.114064
72.791203,13.0,11.0,7.0,8.599007
77.475092,13.0,11.0,7.0,43.147853
87.005379,13.0,11.0,7.0,24.379792
100.667298,13.0,11.0,7.0,12.004328
112.44797,13.0,11.0,7.0,23.993643
127.628703,13.0,11.0,7.0,3.557367
133.27317,13.0,11.0,7.0,0.399706
135.924432,13.0,11.0,7.0,65.714268
141.610908,13.0,11.0,7.0,0.60586
148.220686,13.0,11.0,7.0,29.774494
168.864073,13.0,11.0,7.0,35.10858
179.192183,13.0,11.0,7.0,45.781911
196.337643,13.0,11.0,7.0,17.046619
210.832633,13.0,11.0,7.0,41.86565
217.7066,13.0,11.0,7.0,27.264184
222.312984,13.0,11.0,7.0,4.420329
244.15701,13.0,11.0,7.0,0.406814
251.309445,13.0,11.0,7.0,14.632184
256.643721,13.0,11.0,7.0,19.091342
259.522539,13.0,11.0,7.0,1.349165
273.706095,13.0,11.0,7.0,27.136239
275.781435,13.0,11.0,7.0,0.19808
280.576996,13.0,11.0,7.0,10.049827
299.768728,13.0,11.0,7.0,14.675941
302.499735,13.0,11.0,7.0,94.078683
313.142919,13.0,11.0,7.0,60.300839
332.024033,13.0,11.0,7.0,8.236763
333.841822,13.0,11.0,7.0,32.615259
343.077612,13.0,11.0,7.0,0.237292
356.358386,13.0,11.0,7.0,33.208297
357.02732,13.0,11.0,7.0,32.230516
372.206626,13.0,11.0,7.0,23.436659
376.349613,13.0,11.0,7.0,29.345907
390.659148,13.0,11.0,7.0,21.482678
