simtime,source,dest,needed,holding time
7.311026,13.0,11.0,17.0,4.903748
29.936261,13.0,11.0,17.0,35.561743
42.824018,13.0,11.0,17.0,12.176911
54.354354,13.0,11.0,17.0,100.681121
68.018362,13.0,11.0,17.0,31.903483
70.928514,13.0,11.0,17.0,83.602424
108.71214,13.0,11.0,17.0,21.050534
116.943852,13.0,11.0,17.0,10.478789
122.828625,13.0,11.0,17.0,0.458974
124.345175,13.0,11.0,17.0,14.883166
149.826665,13.0,11.0,17.0,5.384962
153.339518,13.0,11.0,17.0,7.956416
166.825007,13.0,11.0,17.0,4.061824
179.967992,13.0,11.0,17.0,15.400522
185.483803,13.0,11.0,17.0,35.258892
209.007609,13.0,11.0,17.0,4.80523
246.08174,13.0,11.0,17.0,30.582948
251.919241,13.0,11.0,17.0,4.005343
259.437517,13.0,11.0,17.0,51.411087
260.15507,13.0,11.0,17.0,18.388977
303.509779,13.0,11.0,17.0,15.364597
316.508183,13.0,11.0,17.0,91.381256
330.08012,13.0,11.0,17.0,2.713266
337.664602,13.0,11.0,17.0,19.794413
377.006519,13.0,11.0,17.0,0.988935
383.854268,13.0,11.0,17.0,12.273405
