simtime,source,dest,needed,holding time
9.472711,13.0,11.0,6.0,12.522156
13.093845,13.0,11.0,6.0,33.596711
69.117322,13.0,11.0,6.0,9.319197
94.072961,13.0,11.0,6.0,27.765206
98.291802,13.0,11.0,6.0,1.608787
118.902688,13.0,11.0,6.0,3.745536
152.970263,13.0,11.0,6.0,2.052392
157.334439,13.0,11.0,6.0,24.937115
158.135838,13.0,11.0,6.0,0.566614
203.976765,13.0,11.0,6.0,3.379889
209.381996,13.0,11.0,6.0,2.107034
213.796679,13.0,11.0,6.0,28.264151
214.837391,13.0,11.0,6.0,35.058532
224.965245,13.0,11.0,6.0,2.81314
241.571878,13.0,11.0,6.0,5.715382
263.087628,13.0,11.0,6.0,15.526013
264.272822,13.0,11.0,6.0,4.667783
266.44782,13.0,11.0,6.0,12.678556
274.149305,13.0,11.0,6.0,38.486298
279.32255,13.0,11.0,6.0,5.216193
283.268229,13.0,11.0,6.0,6.048001
283.390069,13.0,11.0,6.0,30.488026
320.029663,13.0,11.0,6.0,11.193225
