simtime,source,dest,needed,holding time
13.075704,13.0,12.0,13.0,11.476008
26.330424,13.0,12.0,13.0,29.89627
44.619639,13.0,12.0,13.0,41.081439
49.829702,13.0,12.0,13.0,36.299634
75.598257,13.0,12.0,13.0,15.750283
81.095887,13.0,12.0,13.0,23.610746
89.396645,13.0,12.0,13.0,33.638022
116.949363,13.0,12.0,13.0,39.139255
124.389817,13.0,12.0,13.0,50.282752
132.288,13.0,12.0,13.0,8.546579
137.40295,13.0,12.0,13.0,6.079167
142.140192,13.0,12.0,13.0,95.420031
157.980728,13.0,12.0,13.0,8.63539
178.491194,13.0,12.0,13.0,13.104189
197.6812,13.0,12.0,13.0,17.816397
211.883927,13.0,12.0,13.0,4.84498
232.350864,13.0,12.0,13.0,11.054234
245.120966,13.0,12.0,13.0,74.336122
245.782644,13.0,12.0,13.0,4.840198
246.413469,13.0,12.0,13.0,98.608217
260.941112,13.0,12.0,13.0,4.635878
263.581433,13.0,12.0,13.0,12.672464
266.64048,13.0,12.0,13.0,14.126793
271.844373,13.0,12.0,13.0,11.697541
282.86808,13.0,12.0,13.0,12.923751
292.199626,13.0,12.0,13.0,1.005745
297.916354,13.0,12.0,13.0,17.636535
300.22829,13.0,12.0,13.0,3.709149
303.837532,13.0,12.0,13.0,16.795675
304.212134,13.0,12.0,13.0,32.747178
381.251413,13.0,12.0,13.0,4.25287
400.445831,13.0,12.0,13.0,8.12068
