simtime,source,dest,needed,holding time
16.177252,13.0,11.0,19.0,25.323958
63.020223,13.0,11.0,19.0,4.296222
77.707938,13.0,11.0,19.0,23.839479
84.653292,13.0,11.0,19.0,7.055587
109.563982,13.0,11.0,19.0,12.044219
139.605391,13.0,11.0,19.0,76.835433
155.313293,13.0,11.0,19.0,47.735296
167.42646,13.0,11.0,19.0,0.298253
186.109269,13.0,11.0,19.0,14.157734
190.58606,13.0,11.0,19.0,0.046215
219.058416,13.0,11.0,19.0,22.442761
229.14574,13.0,11.0,19.0,27.627571
250.339859,13.0,11.0,19.0,57.791867
252.566251,13.0,11.0,19.0,5.657077
261.093152,13.0,11.0,19.0,12.312442
262.963633,13.0,11.0,19.0,21.085539
272.094042,13.0,11.0,19.0,55.678208
276.620747,13.0,11.0,19.0,5.21561
285.746885,13.0,11.0,19.0,32.29314
288.111932,13.0,11.0,19.0,37.577157
290.386954,13.0,11.0,19.0,3.286038
304.315086,13.0,11.0,19.0,1.679236
334.349409,13.0,11.0,19.0,22.111487
337.714166,13.0,11.0,19.0,46.639192
354.406016,13.0,11.0,19.0,5.961408
370.870388,13.0,11.0,19.0,8.345195
389.259234,13.0,11.0,19.0,4.230802
390.399715,13.0,11.0,19.0,19.554886
