simtime,source,dest,needed,holding time
1.304132,13.0,11.0,8.0,24.645492
7.154815,13.0,11.0,8.0,20.709412
9.980143,13.0,11.0,8.0,8.327719
29.344464,13.0,11.0,8.0,31.053684
30.871182,13.0,11.0,8.0,42.98458
37.693748,13.0,11.0,8.0,35.126678
41.128953,13.0,11.0,8.0,11.736311
46.965602,13.0,11.0,8.0,20.566301
70.926784,13.0,11.0,8.0,9.754456
103.184994,13.0,11.0,8.0,6.5101
104.039467,13.0,11.0,8.0,11.681058
133.558859,13.0,11.0,8.0,13.809156
191.082931,13.0,11.0,8.0,36.893236
207.00577,13.0,11.0,8.0,16.104106
220.633146,13.0,11.0,8.0,62.488052
239.318621,13.0,11.0,8.0,9.371929
242.288023,13.0,11.0,8.0,15.293774
263.021436,13.0,11.0,8.0,12.281389
264.462214,13.0,11.0,8.0,76.58036
271.059455,13.0,11.0,8.0,60.42299
280.799428,13.0,11.0,8.0,3.77148
297.813326,13.0,11.0,8.0,36.929922
311.229562,13.0,11.0,8.0,16.29003
314.530228,13.0,11.0,8.0,25.447598
325.264363,13.0,11.0,8.0,10.371549
348.96957,13.0,11.0,8.0,32.272553
365.287229,13.0,11.0,8.0,7.337387
369.47497,13.0,11.0,8.0,33.424884
371.067842,13.0,11.0,8.0,7.386358
373.932579,13.0,11.0,8.0,22.85333
374.504446,13.0,11.0,8.0,10.208546
378.836287,13.0,11.0,8.0,5.869913
388.705161,13.0,11.0,8.0,36.886536
400.571064,13.0,11.0,8.0,21.258815
