simtime,source,dest,needed,holding time
1.454117,13.0,12.0,9.0,9.928728
6.690027,13.0,12.0,9.0,11.495
19.69418,13.0,12.0,9.0,67.065808
32.907097,13.0,12.0,9.0,2.498452
33.55527,13.0,12.0,9.0,51.724544
38.420459,13.0,12.0,9.0,2.624122
51.738418,13.0,12.0,9.0,1.957787
60.492794,13.0,12.0,9.0,40.337121
61.435278,13.0,12.0,9.0,2.397883
63.311342,13.0,12.0,9.0,17.379028
66.634303,13.0,12.0,9.0,8.832444
68.254502,13.0,12.0,9.0,2.694583
75.774514,13.0,12.0,9.0,7.951029
126.851006,13.0,12.0,9.0,9.795055
127.21177,13.0,12.0,9.0,17.552116
137.171341,13.0,12.0,9.0,1.293772
163.56888,13.0,12.0,9.0,2.000476
185.25802,13.0,12.0,9.0,8.725829
188.880458,13.0,12.0,9.0,56.452891
205.732895,13.0,12.0,9.0,8.302492
233.335326,13.0,12.0,9.0,21.007848
242.626047,13.0,12.0,9.0,45.916198
257.017513,13.0,12.0,9.0,3.67252
276.336545,13.0,12.0,9.0,4.420131
292.61016,13.0,12.0,9.0,7.613164
297.865701,13.0,12.0,9.0,37.689503
304.647765,13.0,12.0,9.0,8.474834
309.484923,13.0,12.0,9.0,6.151129
309.651061,13.0,12.0,9.0,40.537306
316.895011,13.0,12.0,9.0,3.588378
317.730445,13.0,12.0,9.0,3.82832
322.805701,13.0,12.0,9.0,62.841319
332.93425,13.0,12.0,9.0,18.25659
337.859401,13.0,12.0,9.0,9.161739
341.104013,13.0,12.0,9.0,18.342936
353.111897,13.0,12.0,9.0,28.896039
371.464225,13.0,12.0,9.0,49.443983
375.320537,13.0,12.0,9.0,4.209752
379.697914,13.0,12.0,9.0,9.054923
383.58578,13.0,12.0,9.0,7.12494
390.111802,13.0,12.0,9.0,16.82525
