simtime,source,dest,needed,holding time
4.998815,13.0,11.0,9.0,6.19206
39.672677,13.0,11.0,9.0,1.412033
52.127391,13.0,11.0,9.0,11.179457
58.133855,13.0,11.0,9.0,5.62523
69.523841,13.0,11.0,9.0,51.235457
71.421725,13.0,11.0,9.0,9.978211
101.89898,13.0,11.0,9.0,20.925553
109.66177,13.0,11.0,9.0,14.417475
110.779926,13.0,11.0,9.0,0.048611
125.497042,13.0,11.0,9.0,12.071735
132.696275,13.0,11.0,9.0,19.336251
135.367917,13.0,11.0,9.0,8.594408
137.071966,13.0,11.0,9.0,6.659622
140.145824,13.0,11.0,9.0,43.210481
145.297829,13.0,11.0,9.0,40.574277
158.649929,13.0,11.0,9.0,22.748544
160.031993,13.0,11.0,9.0,41.353546
172.773635,13.0,11.0,9.0,56.117549
182.954181,13.0,11.0,9.0,14.380975
198.83368,13.0,11.0,9.0,1.561292
216.467601,13.0,11.0,9.0,50.795861
218.346014,13.0,11.0,9.0,6.065246
239.922023,13.0,11.0,9.0,2.670686
248.404999,13.0,11.0,9.0,16.12089
257.407313,13.0,11.0,9.0,7.210149
264.252477,13.0,11.0,9.0,40.740728
264.543902,13.0,11.0,9.0,4.000363
274.26886,13.0,11.0,9.0,9.04393
274.385157,13.0,11.0,9.0,5.853667
280.62513,13.0,11.0,9.0,6.788625
282.429351,13.0,11.0,9.0,20.127276
304.93501,13.0,11.0,9.0,13.183256
312.838308,13.0,11.0,9.0,2.977607
316.905273,13.0,11.0,9.0,23.801107
321.199263,13.0,11.0,9.0,20.569522
326.374186,13.0,11.0,9.0,20.010289
340.889735,13.0,11.0,9.0,31.059068
343.737926,13.0,11.0,9.0,9.115224
344.052734,13.0,11.0,9.0,16.369488
352.141709,13.0,11.0,9.0,0.247186
353.389697,13.0,11.0,9.0,34.779628
361.210799,13.0,11.0,9.0,22.127851
392.583023,13.0,11.0,9.0,9.677278
