simtime,source,dest,needed,holding time
17.729439,13.0,11.0,15.0,7.116462
36.339825,13.0,11.0,15.0,3.180154
65.093184,13.0,11.0,15.0,18.934076
69.153037,13.0,11.0,15.0,1.163295
72.114279,13.0,11.0,15.0,5.728253
83.152197,13.0,11.0,15.0,37.892086
92.337711,13.0,11.0,15.0,31.964495
96.29901,13.0,11.0,15.0,26.20558
113.424937,13.0,11.0,15.0,25.99442
161.743048,13.0,11.0,15.0,7.662946
162.764465,13.0,11.0,15.0,5.649331
171.574566,13.0,11.0,15.0,46.420119
188.080876,13.0,11.0,15.0,61.174281
195.752324,13.0,11.0,15.0,70.167516
202.366285,13.0,11.0,15.0,17.753942
202.75312,13.0,11.0,15.0,0.694326
212.400662,13.0,11.0,15.0,114.407414
272.370581,13.0,11.0,15.0,19.555193
287.27126,13.0,11.0,15.0,17.918184
288.012589,13.0,11.0,15.0,13.238802
305.794185,13.0,11.0,15.0,5.785833
311.741406,13.0,11.0,15.0,21.226459
345.668071,13.0,11.0,15.0,5.383074
357.601647,13.0,11.0,15.0,91.774298
368.512226,13.0,11.0,15.0,2.275672
393.063401,13.0,11.0,15.0,35.237499
396.140618,13.0,11.0,15.0,76.41035
396.480548,13.0,11.0,15.0,33.347173
400.089591,13.0,11.0,15.0,40.373671
