simtime,source,dest,needed,holding time
11.233033,13.0,12.0,20.0,0.885645
17.474801,13.0,12.0,20.0,0.605551
33.390533,13.0,12.0,20.0,6.971804
50.313657,13.0,12.0,20.0,7.636338
55.678918,13.0,12.0,20.0,9.656679
76.314002,13.0,12.0,20.0,5.436369
96.824618,13.0,12.0,20.0,26.585747
97.208154,13.0,12.0,20.0,4.275055
104.883677,13.0,12.0,20.0,16.239461
124.43532,13.0,12.0,20.0,11.332305
128.364741,13.0,12.0,20.0,29.091174
156.019357,13.0,12.0,20.0,14.89142
189.600041,13.0,12.0,20.0,26.593495
203.994757,13.0,12.0,20.0,11.714812
210.262352,13.0,12.0,20.0,13.695704
214.738608,13.0,12.0,20.0,8.713255
221.948228,13.0,12.0,20.0,3.758258
236.428152,13.0,12.0,20.0,7.471856
242.939848,13.0,12.0,20.0,6.758953
281.676642,13.0,12.0,20.0,32.080176
293.46761,13.0,12.0,20.0,44.219726
306.931174,13.0,12.0,20.0,2.85717
308.185645,13.0,12.0,20.0,6.165811
308.47975,13.0,12.0,20.0,50.010674
335.04523,13.0,12.0,20.0,4.635231
351.048897,13.0,12.0,20.0,12.814441
360.47614,13.0,12.0,20.0,29.036293
376.417562,13.0,12.0,20.0,6.988505
377.82864,13.0,12.0,20.0,15.841818
382.781205,13.0,12.0,20.0,22.438358
392.972346,13.0,12.0,20.0,33.633925
