simtime,source,dest,needed,holding time
22.558923,13.0,11.0,18.0,30.02781
26.441232,13.0,11.0,18.0,11.22324
39.26361,13.0,11.0,18.0,52.171499
43.889358,13.0,11.0,18.0,5.242797
56.63976,13.0,11.0,18.0,16.509357
66.472047,13.0,11.0,18.0,3.482787
70.873028,13.0,11.0,18.0,2.174641
86.843179,13.0,11.0,18.0,4.155344
96.051498,13.0,11.0,18.0,72.019542
113.243658,13.0,11.0,18.0,8.746813
120.814217,13.0,11.0,18.0,2.94333
136.779691,13.0,11.0,18.0,11.740457
140.217184,13.0,11.0,18.0,18.383923
146.211388,13.0,11.0,18.0,7.070822
152.72449,13.0,11.0,18.0,11.325259
158.582244,13.0,11.0,18.0,18.205912
170.401527,13.0,11.0,18.0,18.611013
173.034949,13.0,11.0,18.0,28.664749
177.277061,13.0,11.0,18.0,5.121884
214.84668,13.0,11.0,18.0,9.488164
234.528236,13.0,11.0,18.0,8.596845
236.283266,13.0,11.0,18.0,45.434399
238.846888,13.0,11.0,18.0,22.677542
263.781318,13.0,11.0,18.0,11.703517
286.715183,13.0,11.0,18.0,50.929215
287.243942,13.0,11.0,18.0,15.437677
289.859909,13.0,11.0,18.0,1.272546
290.561877,13.0,11.0,18.0,9.387737
318.814464,13.0,11.0,18.0,28.203553
349.54079,13.0,11.0,18.0,38.09037
355.910405,13.0,11.0,18.0,35.173419
