simtime,source,dest,needed,holding time
12.242596,13.0,12.0,14.0,8.918775
33.171309,13.0,12.0,14.0,7.810408
38.798968,13.0,12.0,14.0,9.895714
55.539931,13.0,12.0,14.0,13.492839
111.27274,13.0,12.0,14.0,1.42706
122.849387,13.0,12.0,14.0,2.364359
131.924389,13.0,12.0,14.0,28.984809
138.933412,13.0,12.0,14.0,6.879835
143.739611,13.0,12.0,14.0,34.094108
160.8218,13.0,12.0,14.0,17.161384
174.66065,13.0,12.0,14.0,6.571754
175.359749,13.0,12.0,14.0,124.069282
220.239679,13.0,12.0,14.0,11.054983
240.1367,13.0,12.0,14.0,12.585833
243.140798,13.0,12.0,14.0,16.643347
270.816305,13.0,12.0,14.0,17.171276
274.53068,13.0,12.0,14.0,78.352227
278.475289,13.0,12.0,14.0,2.688652
279.577506,13.0,12.0,14.0,39.066087
289.372268,13.0,12.0,14.0,10.933747
301.332471,13.0,12.0,14.0,8.739235
314.618537,13.0,12.0,14.0,1.255604
328.078393,13.0,12.0,14.0,56.571329
337.271301,13.0,12.0,14.0,6.662984
338.061699,13.0,12.0,14.0,14.899887
391.497339,13.0,12.0,14.0,3.69229
