simtime,source,dest,needed,holding time
3.086596,13.0,12.0,11.0,17.829474
4.970493,13.0,12.0,11.0,1.477392
17.81303,13.0,12.0,11.0,13.976733
20.065649,13.0,12.0,11.0,0.86298
45.085455,13.0,12.0,11.0,25.907804
45.213747,13.0,12.0,11.0,3.658646
45.238997,13.0,12.0,11.0,10.161728
50.149642,13.0,12.0,11.0,0.435064
55.717515,13.0,12.0,11.0,33.14537
56.632074,13.0,12.0,11.0,78.070983
56.933716,13.0,12.0,11.0,10.910463
58.037829,13.0,12.0,11.0,5.615782
60.724199,13.0,12.0,11.0,24.576981
65.633698,13.0,12.0,11.0,44.578832
71.245648,13.0,12.0,11.0,12.348824
72.544604,13.0,12.0,11.0,7.195774
98.495157,13.0,12.0,11.0,4.915169
105.696385,13.0,12.0,11.0,30.432157
111.936129,13.0,12.0,11.0,4.470693
113.811755,13.0,12.0,11.0,50.060119
117.978944,13.0,12.0,11.0,20.315838
141.62311,13.0,12.0,11.0,48.037711
159.761564,13.0,12.0,11.0,6.975668
162.491808,13.0,12.0,11.0,3.973125
165.900789,13.0,12.0,11.0,22.122309
176.843132,13.0,12.0,11.0,11.984474
177.402147,13.0,12.0,11.0,20.099853
189.03754,13.0,12.0,11.0,11.550992
191.672645,13.0,12.0,11.0,2.153748
191.932808,13.0,12.0,11.0,19.725063
199.191758,13.0,12.0,11.0,17.256994
230.791648,13.0,12.0,11.0,49.133433
233.880216,13.0,12.0,11.0,37.642238
258.080678,13.0,12.0,11.0,0.723765
282.833854,13.0,12.0,11.0,9.549733
284.357601,13.0,12.0,11.0,0.260849
288.934973,13.0,12.0,11.0,21.294914
289.298546,13.0,12.0,11.0,20.071939
291.264728,13.0,12.0,11.0,8.330518
296.775076,13.0,12.0,11.0,22.965892
321.476833,13.0,12.0,11.0,13.297449
322.059893,13.0,12.0,11.0,17.384299
324.773089,13.0,12.0,11.0,11.530906
331.706938,13.0,12.0,11.0,15.825422
332.921364,13.0,12.0,11.0,2.761987
340.010313,13.0,12.0,11.0,3.126197
366.440077,13.0,12.0,11.0,3.052955
367.984026,13.0,12.0,11.0,20.686898
368.658514,13.0,12.0,11.0,5.308763
373.716359,13.0,12.0,11.0,45.821749
375.006523,13.0,12.0,11.0,1.275153
381.157132,13.0,12.0,11.0,22.657186
394.443687,13.0,12.0,11.0,36.655112
