simtime,source,dest,needed,holding time
15.991601,13.0,12.0,8.0,22.182072
18.771437,13.0,12.0,8.0,16.942724
25.556718,13.0,12.0,8.0,42.478463
30.397605,13.0,12.0,8.0,15.91527
46.878261,13.0,12.0,8.0,9.003569
54.583402,13.0,12.0,8.0,25.681483
64.214549,13.0,12.0,8.0,31.662364
69.575632,13.0,12.0,8.0,0.447842
71.489378,13.0,12.0,8.0,7.925444
84.317969,13.0,12.0,8.0,0.605417
110.679045,13.0,12.0,8.0,1.506874
122.304911,13.0,12.0,8.0,17.131616
135.897058,13.0,12.0,8.0,40.080859
145.364058,13.0,12.0,8.0,0.954313
153.435058,13.0,12.0,8.0,4.834751
159.388686,13.0,12.0,8.0,53.653592
162.380034,13.0,12.0,8.0,21.344533
170.659418,13.0,12.0,8.0,58.438486
199.119528,13.0,12.0,8.0,13.386171
209.037296,13.0,12.0,8.0,9.773877
219.31971,13.0,12.0,8.0,9.434344
221.782329,13.0,12.0,8.0,5.841766
223.849986,13.0,12.0,8.0,5.869782
280.36947,13.0,12.0,8.0,21.941195
307.119969,13.0,12.0,8.0,16.350856
319.935139,13.0,12.0,8.0,9.417205
333.860472,13.0,12.0,8.0,16.149963
359.146282,13.0,12.0,8.0,28.219154
372.18589,13.0,12.0,8.0,29.800878
373.226689,13.0,12.0,8.0,1.419186
374.428575,13.0,12.0,8.0,6.778776
393.522815,13.0,12.0,8.0,44.720098
