simtime,source,dest,needed,holding time
38.353402,13.0,12.0,7.0,11.950865
56.418563,13.0,12.0,7.0,28.940741
58.114344,13.0,12.0,7.0,6.036602
84.9919,13.0,12.0,7.0,1.528556
87.497568,13.0,12.0,7.0,29.11775
91.075924,13.0,12.0,7.0,17.384231
104.023343,13.0,12.0,7.0,16.025465
106.664793,13.0,12.0,7.0,7.52742
108.91223,13.0,12.0,7.0,36.256113
193.64746,13.0,12.0,7.0,21.59394
208.260188,13.0,12.0,7.0,0.220779
235.809123,13.0,12.0,7.0,4.709309
242.579611,13.0,12.0,7.0,25.063986
245.0759,13.0,12.0,7.0,12.814625
256.29983,13.0,12.0,7.0,1.06162
274.534991,13.0,12.0,7.0,100.769572
284.461373,13.0,12.0,7.0,4.958021
300.07608,13.0,12.0,7.0,40.663714
301.254477,13.0,12.0,7.0,17.491225
313.571996,13.0,12.0,7.0,11.686775
313.984419,13.0,12.0,7.0,15.628638
336.736963,13.0,12.0,7.0,6.70708
336.944732,13.0,12.0,7.0,4.42014
348.6643,13.0,12.0,7.0,73.026597
371.216951,13.0,12.0,7.0,14.314438
373.212059,13.0,12.0,7.0,54.344419
381.60116,13.0,12.0,7.0,13.745623
382.877176,13.0,12.0,7.0,25.265187
387.393799,13.0,12.0,7.0,42.088438
