simtime,source,dest,needed,holding time
12.371638,13.0,11.0,5.0,0.836542
16.932651,13.0,11.0,5.0,7.739529
36.348185,13.0,11.0,5.0,16.51393
44.512198,13.0,11.0,5.0,3.221782
62.418663,13.0,11.0,5.0,19.703781
64.286387,13.0,11.0,5.0,53.411962
71.899896,13.0,11.0,5.0,9.928915
76.367674,13.0,11.0,5.0,42.73352
79.706694,13.0,11.0,5.0,26.786375
90.938046,13.0,11.0,5.0,14.175499
95.430015,13.0,11.0,5.0,22.934451
103.093261,13.0,11.0,5.0,3.031304
105.5039,13.0,11.0,5.0,19.36583
115.787206,13.0,11.0,5.0,35.377187
117.793977,13.0,11.0,5.0,26.998789
129.10135,13.0,11.0,5.0,5.664117
134.100885,13.0,11.0,5.0,12.00019
136.901747,13.0,11.0,5.0,5.238869
145.74785,13.0,11.0,5.0,14.071201
167.985377,13.0,11.0,5.0,28.803395
168.881243,13.0,11.0,5.0,14.21058
215.418196,13.0,11.0,5.0,4.786613
224.493169,13.0,11.0,5.0,25.27585
227.676408,13.0,11.0,5.0,5.086073
252.782838,13.0,11.0,5.0,15.992458
256.356007,13.0,11.0,5.0,1.978881
305.90694,13.0,11.0,5.0,85.168003
307.736236,13.0,11.0,5.0,16.638041
328.114395,13.0,11.0,5.0,9.680416
356.735203,13.0,11.0,5.0,5.356324
380.683826,13.0,11.0,5.0,35.295236
392.073497,13.0,11.0,5.0,29.931539
