simtime,source,dest,needed,holding time
13.657791,13.0,12.0,18.0,4.993788
18.236691,13.0,12.0,18.0,1.728832
21.936961,13.0,12.0,18.0,6.531873
40.577332,13.0,12.0,18.0,5.777394
43.728237,13.0,12.0,18.0,2.485776
44.821312,13.0,12.0,18.0,26.81092
62.760616,13.0,12.0,18.0,9.700543
71.190946,13.0,12.0,18.0,11.077198
84.831141,13.0,12.0,18.0,9.273559
113.226399,13.0,12.0,18.0,6.316523
119.347658,13.0,12.0,18.0,23.562033
121.031522,13.0,12.0,18.0,0.264636
125.371166,13.0,12.0,18.0,5.872542
138.622918,13.0,12.0,18.0,19.517074
156.904789,13.0,12.0,18.0,17.027707
161.774518,13.0,12.0,18.0,39.849601
175.954527,13.0,12.0,18.0,23.354862
199.694382,13.0,12.0,18.0,1.015375
206.280619,13.0,12.0,18.0,1.911927
211.18407,13.0,12.0,18.0,10.19023
214.978379,13.0,12.0,18.0,0.314238
229.040307,13.0,12.0,18.0,24.600802
234.54455,13.0,12.0,18.0,12.537329
257.586279,13.0,12.0,18.0,17.558152
264.084087,13.0,12.0,18.0,19.000718
272.450722,13.0,12.0,18.0,6.581283
278.629946,13.0,12.0,18.0,6.236033
299.735993,13.0,12.0,18.0,33.284154
314.697161,13.0,12.0,18.0,58.437295
317.703079,13.0,12.0,18.0,34.970115
324.140053,13.0,12.0,18.0,27.366757
327.488731,13.0,12.0,18.0,28.850842
339.287943,13.0,12.0,18.0,3.778711
346.338054,13.0,12.0,18.0,11.526457
364.773445,13.0,12.0,18.0,5.847324
368.019649,13.0,12.0,18.0,0.131237
368.505105,13.0,12.0,18.0,54.504546
368.749905,13.0,12.0,18.0,67.625733
371.706121,13.0,12.0,18.0,10.362523
375.166636,13.0,12.0,18.0,0.052181
398.123987,13.0,12.0,18.0,21.253446
