simtime,source,dest,needed,holding time
38.592245,13.0,11.0,13.0,54.368901
59.328433,13.0,11.0,13.0,31.387205
59.749624,13.0,11.0,13.0,7.184446
60.735573,13.0,11.0,13.0,2.549962
91.825139,13.0,11.0,13.0,2.812074
114.404936,13.0,11.0,13.0,73.083617
122.135621,13.0,11.0,13.0,14.604188
132.435623,13.0,11.0,13.0,17.893763
132.760479,13.0,11.0,13.0,17.339042
159.922743,13.0,11.0,13.0,15.417771
175.173614,13.0,11.0,13.0,29.20916
210.393775,13.0,11.0,13.0,26.063755
218.386948,13.0,11.0,13.0,14.018741
229.234422,13.0,11.0,13.0,20.424671
246.861805,13.0,11.0,13.0,55.022938
257.140357,13.0,11.0,13.0,30.811689
302.134807,13.0,11.0,13.0,47.754491
318.543604,13.0,11.0,13.0,27.783408
318.692541,13.0,11.0,13.0,19.376482
327.12174,13.0,11.0,13.0,10.737038
329.352025,13.0,11.0,13.0,11.637359
329.832565,13.0,11.0,13.0,16.330199
330.519437,13.0,11.0,13.0,41.179538
335.687059,13.0,11.0,13.0,15.859334
338.322588,13.0,11.0,13.0,25.870075
342.352947,13.0,11.0,13.0,6.928083
347.317197,13.0,11.0,13.0,27.072085
351.257723,13.0,11.0,13.0,4.637103
