simtime,source,dest,needed,holding time
6.550455,13.0,11.0,14.0,14.963614
8.163235,13.0,11.0,14.0,53.745593
9.651794,13.0,11.0,14.0,15.93495
12.109533,13.0,11.0,14.0,25.217221
61.870879,13.0,11.0,14.0,16.703659
73.206325,13.0,11.0,14.0,54.417822
107.08644,13.0,11.0,14.0,17.583678
110.460399,13.0,11.0,14.0,32.366534
111.650486,13.0,11.0,14.0,13.873865
127.080635,13.0,11.0,14.0,1.175726
154.257067,13.0,11.0,14.0,4.154976
168.030193,13.0,11.0,14.0,8.988145
168.446747,13.0,11.0,14.0,3.843492
173.58176,13.0,11.0,14.0,42.102462
187.141647,13.0,11.0,14.0,25.148869
191.288585,13.0,11.0,14.0,13.296911
213.73924,13.0,11.0,14.0,15.76208
234.989673,13.0,11.0,14.0,27.541321
240.456543,13.0,11.0,14.0,9.020347
243.582762,13.0,11.0,14.0,12.230062
259.48766,13.0,11.0,14.0,44.111681
262.197392,13.0,11.0,14.0,12.67958
285.803437,13.0,11.0,14.0,0.56856
290.553136,13.0,11.0,14.0,18.402236
292.554701,13.0,11.0,14.0,5.22994
295.559691,13.0,11.0,14.0,2.021081
302.337729,13.0,11.0,14.0,22.224353
305.880642,13.0,11.0,14.0,11.979426
306.749591,13.0,11.0,14.0,46.637982
328.559728,13.0,11.0,14.0,1.477122
332.543324,13.0,11.0,14.0,3.770625
343.293215,13.0,11.0,14.0,78.56259
370.359346,13.0,11.0,14.0,60.46118
371.102182,13.0,11.0,14.0,11.751406
