simtime,source,dest,needed,holding time
1.773835,13.0,12.0,16.0,20.302411
15.829553,13.0,12.0,16.0,137.226624
24.86603,13.0,12.0,16.0,1.39681
45.855629,13.0,12.0,16.0,1.928576
49.912566,13.0,12.0,16.0,6.983403
62.358046,13.0,12.0,16.0,25.255698
71.976769,13.0,12.0,16.0,46.748777
95.668724,13.0,12.0,16.0,1.382208
120.305732,13.0,12.0,16.0,26.279373
125.321418,13.0,12.0,16.0,34.551053
131.292635,13.0,12.0,16.0,7.168535
138.789434,13.0,12.0,16.0,6.96122
150.575052,13.0,12.0,16.0,67.886568
157.03175,13.0,12.0,16.0,4.744821
178.370468,13.0,12.0,16.0,69.606938
180.198909,13.0,12.0,16.0,17.377082
181.906152,13.0,12.0,16.0,11.584181
182.849842,13.0,12.0,16.0,17.957283
190.588482,13.0,12.0,16.0,5.923125
211.187522,13.0,12.0,16.0,1.329913
232.254032,13.0,12.0,16.0,8.506211
239.62476,13.0,12.0,16.0,15.283639
261.994231,13.0,12.0,16.0,19.312708
277.084111,13.0,12.0,16.0,34.879539
290.54925,13.0,12.0,16.0,2.289455
291.422306,13.0,12.0,16.0,28.994341
302.746026,13.0,12.0,16.0,39.435941
304.541442,13.0,12.0,16.0,10.572328
316.022372,13.0,12.0,16.0,80.728777
332.27964,13.0,12.0,16.0,15.875301
337.672192,13.0,12.0,16.0,30.486917
339.438386,13.0,12.0,16.0,9.415435
344.504406,13.0,12.0,16.0,1.908163
350.919114,13.0,12.0,16.0,8.613002
392.305037,13.0,12.0,16.0,27.210309
398.261596,13.0,12.0,16.0,19.801703
