simtime,source,dest,needed,holding time
19.041527,13.0,12.0,17.0,10.581188
61.746852,13.0,12.0,17.0,4.559873
98.010777,13.0,12.0,17.0,2.218058
113.994587,13.0,12.0,17.0,43.610713
115.426154,13.0,12.0,17.0,4.013179
121.535136,13.0,12.0,17.0,23.837373
132.52527,13.0,12.0,17.0,54.56278
134.300978,13.0,12.0,17.0,39.417062
141.239578,13.0,12.0,17.0,12.166809
141.622905,13.0,12.0,17.0,16.993717
169.043487,13.0,12.0,17.0,2.887741
174.89018,13.0,12.0,17.0,6.253606
178.995109,13.0,12.0,17.0,35.134354
180.14651,13.0,12.0,17.0,15.268476
191.811327,13.0,12.0,17.0,0.468005
193.390199,13.0,12.0,17.0,37.402521
212.79125,13.0,12.0,17.0,20.676314
225.073479,13.0,12.0,17.0,7.188653
232.187583,13.0,12.0,17.0,22.785985
242.615619,13.0,12.0,17.0,13.968206
261.884533,13.0,12.0,17.0,10.151024
264.893329,13.0,12.0,17.0,43.99127
283.826268,13.0,12.0,17.0,3.277597
284.400909,13.0,12.0,17.0,36.844013
310.026126,13.0,12.0,17.0,5.793047
320.859809,13.0,12.0,17.0,114.100878
346.193051,13.0,12.0,17.0,37.503529
350.673115,13.0,12.0,17.0,12.293883
361.833963,13.0,12.0,17.0,67.421892
369.836702,13.0,12.0,17.0,5.705594
373.628465,13.0,12.0,17.0,6.385807
376.705219,13.0,12.0,17.0,12.610893
378.457502,13.0,12.0,17.0,15.152035
382.53142,13.0,12.0,17.0,24.388326
