simtime,source,dest,needed,holding time
9.491812,13.0,12.0,5.0,31.612349
9.895149,13.0,12.0,5.0,9.16686
27.318429,13.0,12.0,5.0,52.622193
27.586813,13.0,12.0,5.0,6.34977
37.825008,13.0,12.0,5.0,75.566082
46.707211,13.0,12.0,5.0,6.880335
51.988962,13.0,12.0,5.0,9.8809
72.507689,13.0,12.0,5.0,39.227739
122.985813,13.0,12.0,5.0,11.255376
124.743854,13.0,12.0,5.0,7.66077
125.02959,13.0,12.0,5.0,11.327025
127.95942,13.0,12.0,5.0,13.453987
134.699365,13.0,12.0,5.0,2.551338
156.299214,13.0,12.0,5.0,0.115332
195.343061,13.0,12.0,5.0,9.118411
214.853707,13.0,12.0,5.0,17.28624
219.501628,13.0,12.0,5.0,71.968378
234.701934,13.0,12.0,5.0,15.200963
245.936429,13.0,12.0,5.0,24.139734
252.917366,13.0,12.0,5.0,5.840679
256.693395,13.0,12.0,5.0,12.063811
277.875432,13.0,12.0,5.0,3.238711
286.04332,13.0,12.0,5.0,3.31919
291.381586,13.0,12.0,5.0,36.627994
296.173196,13.0,12.0,5.0,0.811398
299.241618,13.0,12.0,5.0,0.314409
301.350335,13.0,12.0,5.0,12.216723
302.74778,13.0,12.0,5.0,1.058075
313.703989,13.0,12.0,5.0,40.60216
320.69101,13.0,12.0,5.0,1.382022
320.916491,13.0,12.0,5.0,39.908521
327.412493,13.0,12.0,5.0,18.017245
341.587005,13.0,12.0,5.0,5.277817
360.828466,13.0,12.0,5.0,13.664251
365.294975,13.0,12.0,5.0,0.736389
375.15849,13.0,12.0,5.0,15.470514
386.192064,13.0,12.0,5.0,11.629013
