simtime,source,dest,needed,holding time
23.136181,13.0,12.0,19.0,3.630016
42.075411,13.0,12.0,19.0,0.073911
51.382913,13.0,12.0,19.0,30.689546
54.052578,13.0,12.0,19.0,22.46735
88.774675,13.0,12.0,19.0,17.770691
91.070192,13.0,12.0,19.0,1.890843
111.592894,13.0,12.0,19.0,6.248751
134.689127,13.0,12.0,19.0,63.478459
147.278492,13.0,12.0,19.0,3.902176
159.499408,13.0,12.0,19.0,9.670173
162.602184,13.0,12.0,19.0,8.193332
164.881067,13.0,12.0,19.0,19.442851
183.845601,13.0,12.0,19.0,37.908881
224.783014,13.0,12.0,19.0,29.456806
238.449679,13.0,12.0,19.0,5.340106
245.143289,13.0,12.0,19.0,42.264572
277.372316,13.0,12.0,19.0,23.357504
291.44878,13.0,12.0,19.0,8.93128
295.338534,13.0,12.0,19.0,10.192984
297.390662,13.0,12.0,19.0,1.017154
302.935856,13.0,12.0,19.0,12.783969
308.356774,13.0,12.0,19.0,43.159618
314.238703,13.0,12.0,19.0,23.053772
316.755082,13.0,12.0,19.0,2.748069
321.55883,13.0,12.0,19.0,69.586782
335.039404,13.0,12.0,19.0,3.29496
355.160294,13.0,12.0,19.0,1.54029
377.882122,13.0,12.0,19.0,17.29241
382.817547,13.0,12.0,19.0,7.79014
384.479869,13.0,12.0,19.0,49.938104
