simtime,source,dest,needed,holding time
1.079878,13.0,11.0,10.0,27.745175
2.815409,13.0,11.0,10.0,11.299791
14.574453,13.0,11.0,10.0,15.750414
24.851689,13.0,11.0,10.0,55.88618
27.011241,13.0,11.0,10.0,7.942932
33.259551,13.0,11.0,10.0,81.649114
34.012236,13.0,11.0,10.0,18.600573
38.552382,13.0,11.0,10.0,4.987275
41.021006,13.0,11.0,10.0,3.387197
63.605306,13.0,11.0,10.0,27.246871
92.594435,13.0,11.0,10.0,1.28361
98.07602,13.0,11.0,10.0,33.093502
105.899205,13.0,11.0,10.0,7.02148
107.320502,13.0,11.0,10.0,4.023323
114.551124,13.0,11.0,10.0,1.288931
131.81826,13.0,11.0,10.0,11.881184
140.002981,13.0,11.0,10.0,41.323476
147.507871,13.0,11.0,10.0,46.496111
151.976677,13.0,11.0,10.0,32.165981
153.721199,13.0,11.0,10.0,1.815659
159.947338,13.0,11.0,10.0,42.819549
168.069721,13.0,11.0,10.0,3.732389
173.857384,13.0,11.0,10.0,0.996589
179.876853,13.0,11.0,10.0,1.848977
187.997274,13.0,11.0,10.0,34.61343
193.619144,13.0,11.0,10.0,7.863939
198.218562,13.0,11.0,10.0,8.988608
230.256192,13.0,11.0,10.0,14.591088
235.302542,13.0,11.0,10.0,19.578141
272.938858,13.0,11.0,10.0,15.10511
274.598133,13.0,11.0,10.0,47.540714
285.20206,13.0,11.0,10.0,6.33373
298.938181,13.0,11.0,10.0,5.173535
362.642473,13.0,11.0,10.0,50.202196
365.487395,13.0,11.0,10.0,12.154097
383.863368,13.0,11.0,10.0,1.090416
384.955467,13.0,11.0,10.0,115.574558
387.686226,13.0,11.0,10.0,14.850362
399.1868,13.0,11.0,10.0,14.512833
