simtime,source,dest,needed,holding time
8.526451,13.0,11.0,16.0,38.504115
43.686733,13.0,11.0,16.0,52.369829
93.027381,13.0,11.0,16.0,2.72304
96.515188,13.0,11.0,16.0,1.8667
102.40141,13.0,11.0,16.0,24.10087
109.071105,13.0,11.0,16.0,2.068876
131.54237,13.0,11.0,16.0,8.593219
131.989996,13.0,11.0,16.0,16.523858
170.774165,13.0,11.0,16.0,19.696058
180.64887,13.0,11.0,16.0,4.413673
182.297013,13.0,11.0,16.0,57.729621
182.308018,13.0,11.0,16.0,9.540356
205.82692,13.0,11.0,16.0,18.377487
244.659982,13.0,11.0,16.0,47.680783
256.52098,13.0,11.0,16.0,22.892761
281.593208,13.0,11.0,16.0,36.274048
317.858555,13.0,11.0,16.0,11.770348
332.108043,13.0,11.0,16.0,15.452104
337.60059,13.0,11.0,16.0,14.394341
342.361922,13.0,11.0,16.0,88.419648
349.172014,13.0,11.0,16.0,48.780687
361.534505,13.0,11.0,16.0,4.971738
368.976168,13.0,11.0,16.0,0.818611
